canonical_name_final,trial_count,pair_count,frequency_rank,source_therapy_name,therapy_identity_final,mechanism_superfamily,mechanism_family,molecular_targets,mechanism_action,modality,agonist_order,incretin_based,classification_status,confidence,source_url,notes,scope_review_flag,needs_mechanism_review,classification_status_original,classification_status_final,mechanism_superfamily_final,mechanism_family_final,mechanism_classified,researched_but_publicly_undisclosed,unreviewed_long_tail
aleniglipron,6,6,29,aleniglipron,aleniglipron,Incretin-based,GLP-1,GLP1R,Biased GLP-1 receptor agonist,small molecule,mono,True,VERIFIED,high,https://ir.structuretx.com/news-releases/news-release-details/structure-therapeutics-reports-positive-topline-data-phase-2,GSBR-1290; oral nonpeptide small-molecule GLP-1RA.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
exenatide,6,6,30,exenatide,exenatide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,Exendin-4 based GLP-1RA.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
da-302168s,5,5,31,da-302168s,da-302168s,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,small molecule,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/40257122/,Oral small-molecule GLP-1RA.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
efsubaglutide alfa,5,5,32,efsubaglutide alfa,efsubaglutide alfa,Incretin-based,GLP-1,GLP1R,Long-acting GLP-1 receptor agonist,Fc-fusion protein,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41107649/,Two GLP-1 molecules fused to human IgG2 Fc.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
hrs-7535,5,5,33,hrs-7535,hrs-7535,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,small molecule,mono,True,VERIFIED,high,https://www.hengrui.com/en/media/detail-1030.html,Oral small-molecule GLP-1RA.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
hsg4112,5,5,34,hsg4112,hsg4112,Metabolic/energy expenditure,energy expenditure,molecular target not established,Increases energy expenditure with secondary reduction in food intake,small molecule,,False,VERIFIED,medium,https://pubmed.ncbi.nlm.nih.gov/32943760/,Synthetic glabridin structural analogue; exact molecular target remains incompletely defined.,False,False,VERIFIED,VERIFIED,Metabolic/energy expenditure,energy expenditure,True,False,False
lisdexamfetamine,5,5,35,lisdexamfetamine,lisdexamfetamine,CNS/appetite,catecholaminergic,DAT/NET pathways via dextroamphetamine,Prodrug stimulant increasing central catecholaminergic signalling,small molecule,,False,VERIFIED,high,,Repurposed CNS agent rather than a dedicated obesity asset.,False,False,VERIFIED,VERIFIED,CNS/appetite,catecholaminergic,True,False,False
nnc0662-0419,5,5,36,nnc0662-0419,nnc0662-0419,Undisclosed,undisclosed,,,undisclosed,,,RESEARCH_REQUIRED,low,https://clinicaltrials.gov/study/NCT06737536,"Novo Nordisk publicly identifies it as an obesity medicine, but an authoritative public mechanism was not found.",False,True,RESEARCH_REQUIRED,UNRESOLVED_PUBLIC_INFO,Undisclosed / insufficient public information,Undisclosed,False,True,False
bimagrumab,4,4,37,bimagrumab,bimagrumab,Lean-mass preservation,activin receptor blockade,ActRIIA; ActRIIB,Activin type II receptor-blocking antibody,monoclonal antibody,,False,VERIFIED,high,https://www.nature.com/articles/s41591-026-04204-0,Promotes muscle growth/lean-mass preservation and fat-mass reduction.,False,False,VERIFIED,VERIFIED,Lean-mass preservation,activin receptor blockade,True,False,False
bupropion,4,4,38,bupropion,bupropion,CNS/appetite,catecholaminergic,NET; DAT,Norepinephrine/dopamine reuptake inhibition,small molecule,,False,VERIFIED,high,,Repurposed CNS agent.,False,False,VERIFIED,VERIFIED,CNS/appetite,catecholaminergic,True,False,False
licogliflozin,4,4,39,licogliflozin,licogliflozin,Renal/glucose transport,SGLT1/2,SLC5A1 (SGLT1); SLC5A2 (SGLT2),Dual sodium-glucose cotransporter 1/2 inhibitor,small molecule,,False,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/32187881/,Dual SGLT1/2 inhibitor.,False,False,VERIFIED,VERIFIED,Renal/glucose transport,SGLT1/2,True,False,False
lorcaserin,4,4,40,lorcaserin,lorcaserin,CNS/appetite,serotonergic appetite,HTR2C (5-HT2C),5-HT2C receptor agonist,small molecule,mono,False,VERIFIED,high,,Serotonergic appetite suppressant; historically marketed.,False,False,VERIFIED,VERIFIED,CNS/appetite,serotonergic appetite,True,False,False
mdr-001,4,4,41,mdr-001,mdr-001,Incretin-based,GLP-1,GLP1R,Biased selective GLP-1 receptor agonist,small molecule,mono,True,VERIFIED,high,https://www.mindrank.ai/en/news/detail/155,AI-designed oral small-molecule GLP-1RA.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
naperiglipron,4,4,42,naperiglipron,naperiglipron,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,small molecule,mono,True,VERIFIED,high,https://www.lilly.com/science/research-development/pipeline,LY3549492; Lilly oral small-molecule GLP-1RA.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
nnc0519-0130,4,4,43,nnc0519-0130,nnc0519-0130,Undisclosed,undisclosed,,,undisclosed,,,RESEARCH_REQUIRED,low,https://clinicaltrials.gov/study/NCT06567041,"Novo Nordisk publicly identifies it as an obesity medicine, but an authoritative public mechanism was not found.",False,True,RESEARCH_REQUIRED,UNRESOLVED_PUBLIC_INFO,Undisclosed / insufficient public information,Undisclosed,False,True,False
oxytocin,4,4,44,oxytocin,oxytocin,Oxytocin,oxytocin receptor,OXTR,Oxytocin receptor agonist,peptide,mono,False,VERIFIED,high,,Repurposed satiety/appetite pathway.,False,False,VERIFIED,VERIFIED,Oxytocin,oxytocin receptor,True,False,False
petrelintide,4,4,45,petrelintide,petrelintide,Amylin-based,amylin,amylin receptors; CTR,Long-acting human amylin analogue,peptide,multi,False,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41217931/,Long-acting amylin analogue.,False,False,VERIFIED,VERIFIED,Amylin-based,amylin,True,False,False
ray1225,4,4,46,ray1225,ray1225,Incretin-based,GLP-1/GIP,GLP1R; GIPR,Biased dual GLP-1/GIP receptor agonist,peptide,dual,True,VERIFIED,high,https://diabetesjournals.org/diabetes/article/75/Supplement_1/1227-OR/167132/,Long-acting/biweekly dual agonist.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1/GIP,True,False,False
topiramate,4,4,47,topiramate,topiramate,CNS/appetite,anticonvulsant/appetite,GABA-A; AMPA/kainate; carbonic anhydrase (pleiotropic),Pleiotropic CNS appetite-modulating effects,small molecule,,False,VERIFIED,medium,,Mechanism relevant to weight loss is multifactorial.,False,False,VERIFIED,VERIFIED,CNS/appetite,anticonvulsant/appetite,True,False,False
vct220,4,4,48,vct220,vct220,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,small molecule,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/42595749/,Oral nonpeptide GLP-1RA.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
azd9550,3,3,49,azd9550,azd9550,Incretin-based,GLP-1/glucagon,GLP1R; GCGR,Dual GLP-1/glucagon receptor agonist,peptide,dual,True,VERIFIED,high,https://www.astrazeneca.com/media-centre/press-releases/2026/astrazeneca-agrees-obesity-and-t2d-deal-with-cspc.html,Weekly injectable dual agonist.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1/glucagon,True,False,False
bi 3034701,3,3,50,bi 3034701,bi 3034701,Incretin-based,GLP-1/GIP/NPY2,GLP1R; GIPR; NPY2R,Triple GLP-1/GIP/NPY2 receptor agonist,peptide,triple,True,VERIFIED,high,https://www.gubra.dk/mfn_news/boehringer-ingelheim-initiates-phase-2-clinical-trial-of-gubra-originated-triple-receptor-agonist-for-people-living-with-overweight-and-obesity,Potential first-in-class triple agonist peptide.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1/GIP/NPY2,True,False,False
dulaglutide,3,3,51,dulaglutide,dulaglutide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,Fc-fusion protein,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,Long-acting GLP-1RA.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
empagliflozin,3,3,52,empagliflozin,empagliflozin,Renal/glucose transport,SGLT2,SLC5A2 (SGLT2),SGLT2 inhibitor,small molecule,,False,VERIFIED,high,,Established SGLT2 inhibitor; repurposed/metabolic obesity context.,False,False,VERIFIED,VERIFIED,Renal/glucose transport,SGLT2,True,False,False
enicepatide,3,3,53,enicepatide,enicepatide,Incretin-based,GLP-1/GIP,GLP1R; GIPR,Dual GLP-1/GIP receptor agonist,peptide,dual,True,VERIFIED,high,https://www.roche.com/media/releases/med-cor-2026-01-27,CT-388; once-weekly dual agonist.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1/GIP,True,False,False
hrs-4729,3,3,54,hrs-4729,hrs-4729,Incretin-based,GLP-1/GIP/glucagon,GLP1R; GIPR; GCGR,Triple GLP-1/GIP/glucagon receptor agonist,peptide,triple,True,VERIFIED,high,https://www.hengrui.com/images/investor/%E6%81%92%E7%91%9E%E9%86%AB%E8%97%A5%202025%E5%B9%B4%E5%A0%B1.pdf,Subcutaneous peptide triple agonist.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1/GIP/glucagon,True,False,False
hu6,3,3,55,hu6,hu6,Metabolic/energy expenditure,mitochondrial uncoupling,mitochondrial proton gradient / oxidative phosphorylation,Controlled mitochondrial uncoupling increases resting energy expenditure and fat oxidation,small molecule,,False,VERIFIED,high,https://www.rivuspharma.com/our-pipeline/,Controlled Metabolic Accelerator (CMA); increases energy expenditure through mitochondrial uncoupling.,False,False,VERIFIED,VERIFIED,Metabolic/energy expenditure,mitochondrial uncoupling,True,False,False
lotiglipron,3,3,56,lotiglipron,lotiglipron,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,small molecule,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/38751362/,PF-07081532; oral small-molecule GLP-1RA. Development was discontinued by Pfizer.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
macupatide,3,3,57,macupatide,macupatide,Incretin-based,GIP,GIPR,Long-acting GIP receptor agonist,large-molecule biologic,mono,True,VERIFIED,high,https://www.lilly.com/science/research-development/pipeline,LY3532226; Lilly describes it as a large-molecule long-acting GIPR agonist.,False,False,VERIFIED,VERIFIED,Incretin-based,GIP,True,False,False
ro7795081,3,3,58,ro7795081,ro7795081,Incretin-based,GLP-1,GLP1R,Biased GLP-1 receptor agonist,small molecule,mono,True,VERIFIED,high,https://clinicaltrials.gov/study/NCT05814107,Same molecule as CT-996 / RG6652; Roche now uses active-substance code RO7795081.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
tg103,3,3,59,tg103,tg103,Incretin-based,GLP-1,GLP1R,Long-acting GLP-1 receptor agonist,Fc-fusion protein,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/37062422/,Long-acting GLP-1/Fc fusion protein.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
vrb-101,3,3,60,vrb-101,ecnoglutide,Incretin-based,GLP-1,GLP1R,cAMP-biased GLP-1 receptor agonist,peptide,mono,True,VERIFIED_ALIAS,high,https://clinicaltrials.gov/study/NCT07281937,VRB-101 is an oral formulation of ecnoglutide; collapse into ecnoglutide identity.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Incretin-based,GLP-1,True,False,False
zovaglutide,3,3,61,zovaglutide,zovaglutide,Incretin-based,GLP-1,GLP1R,Ultra-long-acting GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://clinicaltrials.gov/study/NCT07230119,ZT002; once-monthly GLP-1RA peptide.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
zt002,3,3,62,zt002,zovaglutide,Incretin-based,GLP-1,GLP1R,Ultra-long-acting GLP-1 receptor agonist,peptide,mono,True,VERIFIED_ALIAS,high,https://clinicaltrials.gov/study/NCT07230119,ZT002 is zovaglutide; collapse into zovaglutide identity.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Incretin-based,GLP-1,True,False,False
MWN105,2,2,63,MWN105,MWN105,Incretin + metabolic/hepatokine,GLP-1/GIP/FGF21,GLP1R; GIPR; FGFR1c/β-Klotho pathway,"Unimolecular activation of GLP-1, GIP and FGF21 pathways",multi-domain biologic,multi,True,VERIFIED,high,https://diabetesjournals.org/diabetes/article/74/Supplement_1/1968-LB/158766/,Next-generation GLP-1/GIP/FGF21 multi-agonist.,False,False,VERIFIED,VERIFIED,Incretin + metabolic/hepatokine,GLP-1/GIP/FGF21,True,False,False
abbv-295,2,2,64,abbv-295,abbv-295,Amylin-based,amylin,amylin receptors,Long-acting amylin analogue,peptide,multi,False,VERIFIED,high,https://www.gubra.dk/mfn_news/gubra-announces-achievement-of-milestone-from-abbvie-following-initiation-of-a-phase-2-clinical-trial-of-abbv-295-a-long-acting-amylin-analog/,Long-acting non-incretin amylin analogue.,False,False,VERIFIED,VERIFIED,Amylin-based,amylin,True,False,False
alt-801,2,2,65,alt-801,pemvidutide,Incretin-based,GLP-1/glucagon,GLP1R; GCGR,Dual GLP-1/glucagon receptor agonist,peptide,dual,True,VERIFIED_ALIAS,high,https://diabetesjournals.org/diabetes/article/71/Supplement_1/334-OR/146219/,ALT-801 is pemvidutide.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Incretin-based,GLP-1/glucagon,True,False,False
ard-101,2,2,66,ard-101,ard-101,GI/CNS gut-brain appetite,TAS2R bitter-taste receptor,TAS2R family,Gut-restricted bitter-taste receptor agonism modulating hunger/satiety via gut-brain signalling,small molecule,,False,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41833222/,Oral denatonium acetate; gut-restricted TAS2R agonist.,False,False,VERIFIED,VERIFIED,GI/CNS gut-brain appetite,TAS2R bitter-taste receptor,True,False,False
asc30 a1,2,2,67,asc30 a1,ASC30,Incretin-based,GLP-1,GLP1R,Fully biased GLP-1 receptor agonist without β-arrestin recruitment,small molecule,mono,True,VERIFIED_ALIAS,high,https://www.ascletis.com/news_detail/192/id/1138/L/EN-US,A1 is an ASC30 formulation label; collapse to ASC30.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Incretin-based,GLP-1,True,False,False
azd5004,2,2,68,azd5004,elecoglipron,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,small molecule,mono,True,VERIFIED_ALIAS,high,https://www.astrazeneca.com/our-therapy-areas/pipeline.html,AZD5004 (formerly ECC5004) is now named elecoglipron.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Incretin-based,GLP-1,True,False,False
benaglutide,2,2,69,benaglutide,benaglutide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,,Short-acting recombinant human GLP-1 analogue.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
bgm1812,2,2,70,bgm1812,bgm1812,Amylin-based,amylin/calcitonin,amylin receptors; CTR,Dual amylin and calcitonin receptor agonist (DACRA),peptide,dual,False,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/40608546/,Novel DACRA developed for obesity.,False,False,VERIFIED,VERIFIED,Amylin-based,amylin/calcitonin,True,False,False
bi 1820237,2,2,71,bi 1820237,bi 1820237,CNS/appetite,NPY2,NPY2R,Long-acting NPY2 receptor agonist,peptide,mono,False,VERIFIED,high,https://www.gubra.dk/mfn_news/phase-1-trial-results-from-a-novel-long-acting-npy2-receptor-agonist-in-partnership-between-gubra-as-and-boehringer-ingelheim-presented-today-at-the-european-congress-on-obesity-eco-2023/,Obesity development was discontinued in 2024; mechanism remains relevant to historical landscape.,False,False,VERIFIED,VERIFIED,CNS/appetite,NPY2,True,False,False
cagrilintide d,2,2,72,cagrilintide d,cagrilintide,Amylin-based,amylin,AMY1R; AMY2R; AMY3R; CTR,Long-acting amylin/calcitonin receptor agonist,peptide,multi,False,VERIFIED_ALIAS,high,https://clinicaltrials.gov/study/NCT07597018,Registry label denotes a version/formulation of cagrilintide; collapse to cagrilintide.,False,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Amylin-based,amylin,True,False,False
cotadutide,2,2,73,cotadutide,cotadutide,Incretin-based,GLP-1/glucagon,GLP1R; GCGR,Dual GLP-1/glucagon receptor agonist,peptide,dual,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,Dual GLP-1/glucagon co-agonist.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1/glucagon,True,False,False
cpx101,2,2,74,cpx101,cpx101,Undisclosed,undisclosed,,,biological,,,RESEARCH_REQUIRED,low,https://clinicaltrials.gov/study/NCT06532578,Clinical obesity programme verified; authoritative public molecular mechanism not yet identified.,False,True,RESEARCH_REQUIRED,UNRESOLVED_PUBLIC_INFO,Undisclosed / insufficient public information,Undisclosed,False,True,False
